185,2,4,"Why is this place still open? The resurant and restrooms were discusting. The server had one table, us! Upon arriving we were told to find a clean table, huh! Service was not bad, the server was friendly, its not her fault the place is ran like it is. The pizza was good.  Apparently cleaning anything is not required to work there. I'm curious to know if this is corporate or a franchise? The manager should be fired today for letting this place look like it is."
186,2,2,"The worst pizza joint around, placing an order for delivery was like pulling teeth! RUDE does not even cover it, From the minute they answer the phone, you'll wish you never called. The visit was even worse. The pizza was oily and the dough tasted stale. The restaurant was dirty and the staff acted like they could care less. No standards what so ever."
187,2,2,"The restaurant was dead when we walked in and got seated, then after a big group came in, we were asked to leave because they were too incompetent to serve a table of 3. Will never give this establishment my business."
188,2,4,"My mom and I went here last week, we were the only people in the restaurant with the two sketchy workers. Service was average, but after my mom paid, her credit card info got stolen and was used the day after. This was the only place she used her card, soo...if you go here I would advise paying with cash"
189,2,2,"Hello. When I placed my order with this location I was expecting to receive 8 breaded wings. Upon receiving my order I received 8 boneless wings. The wings were highly un satisfying in the sense that they were tough and slightly burnt. I immediately phoned the store manager eager to discover my options. The store manager informed me that I did not have any options and there was nothing he was going to do to rectify the issue. I was forced to keep a meal I did not enjoy. Along with the loss of $24.18. I value my money as anyone should. As my money was well earned I do not feel my money was well spent. I wish my experience were different. However, I do not think the store manager handled my concerns to the best of his trainings and knowledge. I am seeking reparation and would like to know who can assist me."
190,2,2,"The only way to describe my experience is: LONG AND DISORGANIZED!  This Pizza Hut is an utter mess, to say the least. The online specials were different from in store so I ordered while in store for pick up. There was a discrepancy with the order, where we waited 10 mins for the manager to come out and resolve the issue. No apologies. Nothing. We literally waited close to 1.5 hours for two medium pizzas and an order of eight bone in wings. Again no apologies. Now the young women cashiers were trying their best to accommodate all, but it just fell short. Not their fault, but I think it begins in the kitchen. Orders were incorrect, pizza were burnt (lady literally came back and asked the rhetorical question of: ""would you eat this?"" displaying burnt cheese on pizza. They did make her another one without any questions asked). What I think makes this place disorganized is the heater for the pizzas are for both carry-out and delivery. It causes confusion for patrons, cashiers and delivery workers. Its a brand-new establishment and there will be kinks. But what I experienced here was disturbing."
192,2,2,Pizza Hut has to do better with whom they choose as employees!!The food I got today was not quality at all!!!!! They basically put no effort into my order! Very disappointed!
191,1,4,"I went to this Pizza Hut with my fingers crossed and belly empty when I saw the all of the great specials on the banners out front.   There was a lady waiting for an order when i came in.  The cashier, super busy and dry, but was nice enough to tell us that the main special of $10 any pizza was available only online.  No problem.... so to the car I went.  Ordered waited and was in and out in 20 minutes.  Pizza and wings were fantastic. Will definitely be back, but will continue to order online, that poor lady was still in there waiting."
193,1,4,"Wanted to give this place a review due to the fact that they have some horrible, outdated reviews. I don't leave reviews often but when I do it's usually based on either a great experience, a terrible one, or a saving grace for an establishment. My partner and I were craving Pizza Hut so I came on yelp and saw that this location was the closest to my home. I saw that they had a mere 1 and a half or 2 and a half ratings and I almost changed my mind. I decided to read the reviews and the most recent one was from almost a year ago, everything else was from 3-5 years ago. So i decided to give it a go anyway. I ordered my food online and when I arrived my food was ready. The girl at the register was super polite and even gave my extra sauce for my chicken wings. I ordered a large pizza with 5 toppings, Stuffed garlic knots, buffalo wings and a cookie pie thing and everything was fresh, hot and delicious. It's hard to not judge a place based on their reviews but in my opinion, this Pizza Hut location is definitely worth a try!"
194,1,1,"Great experience! Ordered online and picked up, food was hot and delicious. Customer service was also good! Will definitely return!"
195,2,4,Tbh I thought Pizza Hut was good but maybe it's just this location . They got A 5$ deal going on and what not so I ordered me a hand tossed pepperoni and pineapple pizza with bbq and medium buffalo wings . When my food it honest to god look like they took all my shit out the dresser and just warmed it . Pizza was cold and thin . And don't get me started on my uncooked boneless wings . Had no sauce what so ever . Had the nerves to honestly send me that . I already think half yah know how mad I was . Idc about offering to bring a new pizza it's the principle that you shouldn't have to . My order should have been made with love and clearly you guys have people on there who don't care for they job and managers who clearly aren't checking work before it sent out . DO BETTER BECAUSE I WOULD NEVER ORDER FROM THIS LOCATION AGAN !
196,2,4,After reading the reviews I don't know how this store is still in business. I though I was the only one who experienced not receiving their order. It happened to me on a Sunday where I never got my order and instead of learning my lesson I attempted to order from the restaurant again that following Thursday and of course... same s*it.This is incredible with these people. And to get them to answer the phone HA. Good luck with that!This pizza hut restaurant just messed it up for all of them cause I'll never order from any pizza hut restaurant again.
197,2,2,"This place is the complete worst, order food online for delivery, food never came, called themMultiple time they stated my food was on the way, i order the food at 730pm, online status show it would be delivered by 9pm, food never came, they stop taking my calls, called them the next day and spoke to a ""shift"" manager who stated i will have to call monday and speak to the head manager who could help me, place is the complete worst, will never order from them again..... i wouldve give them zero stars but i had to elect atleast one."
198,2,2,"Are you kidding me? You sold an uncooked Supreme Pizza where the dough is still stretching. Then when I called to tell you that you owe me a new pie, you told me to bring this one back after I have already driven 5 miles to my home. So, do you think I'm going to drive another 10 miles there and back for a $10 pizza? No rain check? 1) You lost a customer. What the hell kind of Pizza Hut doesn't know how to thoroughly cook a pizza? If you don't know that extra toppings add extra moisture, then you don't belong in the pizza business. If I could give you 0 Stars, I would. That is the absolute dumbest mistake a pizza place can make. You have to be really stupid to not know how to cook a pizza through before you serve it to a customer.2) You still owe me a supreme pizza and I'm going to get it delivered to my home for free with extra bread sticks for my trouble.This happened at 6:45 on June 5th of 2017."
199,2,2,"I'm VERY disappointed in the service because I actually LOVE Pizza Hut. I spent 30 minutes perfecting this pizza and its ashame I couldn't taste the fruits of my creative labor. Long story short, they never showed up."
200,2,4,Omg was so excited that pizza Hut finally opened in my area ..... the pizza was not up to standard it tasted like a knockoff frozen pizza the bread was very thick and  very dry the wings horrible I will stay with papa johns or dominoes
201,2,2,"The absolute worst Pizza Hut I have ever been to. And I'm not even a big fan of commercial/franchise style pizza. However I like Pizzahut the best out of all of its competitors, Domino's and Papajohns. (Little Caesars not included yuck!) Anyway I put in a order to pick up on a night when I didn't want to cook so I thought I would buy something Good and Quick for my family....QUICK & GOOD is the furthest thing from this Pizzahut. After arriving to pick my dinner box up of 2 medium pepperoni pies. Bread sticks and Wings, I was informed that the wait will be 30mins-45mins to receive my food. Say what?! Almost an hour for pizza even after calling it in. At this moment I should have turned around.After waiting for almost an entire hour I got my food, from a girl at the cash register who seemed like the customers were all irritating her! One young lady came back and noted that her pizza was cold and another man came back with the wrong order.When I arrived home and opened my Pizza box I then realized my order was correct however my Pizza was in fact cold and the cheese on the pizza was burnt. I only gave this place 2 stars because the wings were a different touch from other pizza places. Not better, just different. The wings at this particular location are first fried THEN tossed in sauce. Which I thought was the only positive here. I will stick with the Pizza Hut in Ozone Park Queens."
202,2,2,The worst ever place an order online and patiently waited for an hour when i called to find out what was going on u was told by a young lady that it was cancel smh now where i live when something goes wrong with an order they notify you but this place didn't even care first and last time smh. Clearly customer service was not taught at this place
203,4,1,The wait is long but what do you expect for something new... Wings are good and the pizza is better than dominos
204,2,4,The wait is way to long . They are never open late night . The service is horrible. But the pizza is better than dominos. But they always seem to forget something that I order & I end up waiting longer for the rest of my food ..
205,2,2,They delivered a burn up pizza and breadsticks with no sauce. Calling to get through take forever. They just need to shut down and horrible service.
206,2,2,the absolute! worse!!!!!!!! ordered at 5:04 food came 7:15! i'm all for freshly made pizza but damn!!!!! 2 hours you have to be kidding me
207,1,1,I'm so happy that a Pizza Hut finally opened in my neighborhood I loved the pizza the service could be a little better but what do you expect they just opened
208,2,2,"Unprofessional is an understatement. I placed 2 orders online within minutes of one another and they were supposed to be done at the same time. I got there a few minutes late on purpose, and my wings were just coming out 5 minutes after my arrival. I asked about my pizza and was told that they were on 170 something and I was 180 something. Fast forward to 40 minutes later and I'm still waiting. I check on my pizza again and am told that there was no more chicken, no call or any type of notification whatsoever. The manager was at the register giving refunds and neither her nor the cashier apologized or even tried to make things right. Corporate was emailed as soon as I got home. Will never go to this pizzahut again."
209,1,1,"I didn't check yelp before ordering here- ordered straight through the app, had a prob ordering, called and they were great over the phone. Food was hot, fresh, and exactly what I ordered. I have to say I was expecting mediocrity but was pleasantly surprised with flavor! Ok Pizza Hut! Way to keep a long time customer happy. *thin crust pizza"
210,2,2,"Horrible food . Everything tasted old and gross my children didn't eat it and the one that did had diarrea ,I called the store and they gave me a run around , never apologize for it or explained the most they offer was $10 dollars off my next purchase, I spoke to Sabrina that told me she wasn't authorized to give me a refund and the person that could was on "" vacation "". Very disappointed My advice don't eat from there if you don't want to waste your money"
211,1,4,"Pizza Hut is a place that makes good pizza (and other things but I like their pizza more than all the rest). I read some of the reviews here and many do not give them best the best rating. But rather give them the rating more based on their delivery service, their customers service and such. Now I know that when you rate a place you consider many things. And me myself had some mistakes made on my orders. But in terms of fast food pizza, Pizza Hut is one of the best places for Pizza."
212,1,1,I really like the pizza quality at this location despite what the other reviewers are sayin.  I ordered a medium sausage and breadsticks and it was on.  This location seems to put on way more toppings than other locales so they're good with me.
213,2,4,"I have the unfortunate displeasure of living across the street from this godforsaken place.Many months ago I awoke to an extremely loud ear splitting sound. Although this is common living on Myrtle Ave, this sound didn't stop. It just kept on going... what I discovered were that some employees of this particular Pizza Hut seemed to be power washing something on the sidewalk. For hours. After a long shouting match eventually they stopped. The days passed by and I thought this was the end of my power washing nightmare. I was wrong.Last night (Sunday night) at 1AM I heard a familiar and terrible sound, like a hurricane was tearing up my sidewalk. Immediately I knew the power washing perpetrators were back. So after an hour of putting up with it I went outside to confront them. After screaming at the unfortunate employees who were had the burden of power washing thrust upon them by their capitalist pig bosses, I discovered the reason that they were committing this heinous offense, and the true reason for this 1 star review.Apparently, once every 6 months, they take the grills out of their ovens and power wash them on the side walk. Which means that for 6 months they allow all the grime of every pizza they cook build up on these disgusting hunks of metal, only hiring someone to wash them after there appliances have gotten so horribly grimy that to wait any longer would make those ovens the only thing more wretchedly sickening than the NYC subway system.I'm not one for noise complaints or things of that ilk. The noise of life is one thing that I love and appreciate about living in NYC. The daily sound of buses and garbage trucks are loud reminders that there are so many wonderful people outside my window working together in their own little ways to keep this city running. To quote the inimitable Jane Jacobs ""...although it is life, not art, it's may fancifully call it the art form of the city and liken it to the dance -- not to a simple-minded precision dance with everyone kicking up at the same time, twirling in unison and bowing off en masse, but to an intricate ballet in which the individual dancers and ensembles all have distinctive parts which miraculously reinforce each other and compose an orderly whole.""But is this really necessary?Like why do you have to wait till 1 AM on a Sunday when everyone is sleeping to do this? Why not set up some cones at PM and do it then? Or maybe clean the ovens with brushes idk like every week or so like any normal place would? God this place is as disgusting as it is offensive."
214,2,2,Be aware of the delivery guy he's a thief. He doesn't carry enough cash so he can keep the change. He took $12.16 from me talking about he didn't have change. Smh I'll never buy from here again. The pizza was good thou and it was warm. Sorry for the rest of the Pizza Hut crew who have to take the heat because of one person.
216,2,2,"I kind of laughed as I was reading the other reviews of this Pizza Hut, but yes, this place really is comical in an ""Oh God, I can't believe I'm about to eat this"" kind of way.Rus walked in and ordered 8 wings and cheesy bread (didn't even get a pizza). It probably took at least 30 minutes for us to get our food, but that's not even what bothered me the most.The man in the back making our food didn't wear any gloves as he handled anything, he was also talking on his cellphone and going between touching his phone and food every few minutes. Gross.They also throw all of the oven trays into a huge garbage can. Weird.The manager was okay, but he seemed a little disgruntled whenever people would call.Sigh. Should have known better and trusted my fellow Yelpers! But do yourself a favor and get  your grub elsewhere. There's a pizzeria right across the street and their food never takes longer than 10 minutes."
217,2,2,"Disgusting pizza, I had a mushroom topping on my slice and I took it off and found a piece of hair under it. If I would of never taken that mushroom off I probably would have ate that piece of hair. Terrible service I had to wait 3 hours for the delivery as well. And the guy on the phone was very rude when I tried to place my order. Here is a picture of my slice. The pizza was also very cold and soggy. First and last time I'm ever getting pizza hut."
215,2,4,Loved Pizza Hut in the past always tastes good came to order some take out place was empty I ordered the special that came with 2 free toppings when I asked for extra cheese I was told that would be extra and was not considered a free topping wtf since when is extra cheese not considered a topping the girl explained it was company policy and not up to her. Guess I won't be coming back until they fix this ridiculous policy
218,2,2,I really wish I can give this place a negative rating. I ordered a large two topping pizza and boneless sauced wings. The wings barely had sauce and the pizza had less cheese than the wings had sauce. The toppings on the pizza tasted like dirt and I immediately got sick after eating.
219,2,2,"I wish I could give this place -5 stars. People, please take these reviews seriously. This Pizza Hut is a dive. Delivery ran 1 hr 35mins late. When I called to inquire about the order they put you on hold for the longest time...give you a thousand and one excuses...and lie about your order having left already. When it finally arrived it was cold and with toppings I didn't even ask for. Honestly it was worse than little Caesars. These people should be arrested for serving garbage."
220,2,2,"Horrible customer service, order took almost 2 hours...  & i live down the block.  We refused the pizza and from domino's"
221,2,2,Two cheese pizzas with burnt cheese was not my idea for a nice meal. Why would they serve that....I think they reheated old pizza and then sent it to us.....not happy. This was the second time for carryout....nope ...never again.
223,2,2,"Well, that was even more depressing than I'd expected.Semi-understanding my fondness for pizza, my dear mother sent me a Pizza Hut gift card.Hey, it's free food, right?Wow, you can order online now?I walked over to pick up my pie, with vague childhood memories of cheesy satisfaction. Dominos was the terrible one, right?The shop is a bit depressing, and feels like the fast-food restaurant that it is, except dimmer and grungier than most.By the time I got it home, the pizza was already lukewarm. I had opted for the thin/crispy crust, which may have been my misstep; or maybe ordering olives/tomatoes/mushrooms instead of the safer cheese.Or, maybe, it is no fault of my own, and this place just makes terrible pizza. Worse than I recall Dominos being, worse than dollar slices.Limp, cardboard-esque crust, low-grade toppings, zero flavor. It wasn't even cut correctly.And the ""breadsticks"" were a square of pre-formed bread product with a film of butter or oil around the outside and poorly-indented perforations with which one is apparently supposed to separate the ""sticks.""Don't bother, even if it is free."
224,1,1,I had a really nice experience and I am sorry for the yelp reviewers that had a bad encounter. I ordered online and  total was 27.50. I thought I told the lady over the phone can she charge the credit card including a tip she said she couldn't so I was like ok will tip the person when they came. It came 30 minutes after I called and I was pleased. I gave the lady the tip and some extra for the fast delivery. The pizza was really good fresh and hot and the chocolate chip cookie pie was delicious! Maybe the people who were rude no longer work there and they got new people. Either way I order from this Pizza Hut alone and when I like something  I just keep buying from the same place. So I only order from this Pizza Hut now.
222,2,2,"Ordered delivery for cheese stuffed cheese pizza..told the lady over the phone to add some marinara sauces on the side..40 mins later it arrives with no sauces like I repeatedly told her to include and the pizza tasted like sh!t!! No, I'm not just saying that..it literally tasted and smelled like someone pissed in it and prepared it after they used the toilet without washing there hands first! They just used mass amount of salt to make it taste like it's been properly "" prepared""I was honestly disgusted that I payed such price and will never ever ever ever get close or even think about ordering from here!"
225,1,4,The pizza is great but most of the staff is rude. Lol there is one Latina woman who's nice though. I guess the bad reviews are pretty accurate depiction of the staff.
226,2,2,"WORST PIZZA HUT EVER!!!!! We went to pick our pizza up so I can not speak on the delivery service. I can however speak on how HORRIBLE their pizza is! We got a cheesy crust pizza but they was no cheese in the crust. The pizza was limp and hard to pull apart. I ordered bread sticks. They were flat, chewy, and old looking. I will EVER EVER order from here again. In fact I'm going to tell Pizza Hut they need to look into this store because the product they are producing is WWAAYY off of the Pizza Hut brand."
227,1,1,"I got exactly what I ordered and it was delivered in 40 minutes just like I was told. Oh,The delivery person looked like my uncle"
228,2,2,This place is the absolute worst!!!! I called and complained to corporate and they felt so bad they emailed me a free pizza. I wouldn't eat there ever again. They can keep that nasty a** pizza wouldn't care if it was free.
229,2,2,I wish it was possible to get a location negative stars. I have had nothing but terrible customer service from the shit storm of the store and I have filed a complaint with not only Pizza Hut itself but also with the Better Business Bureau. I have absolutely no problem going on every social media outlet and doing nothing but blasting this company and its manager Persaud for his deplorable customer service. my husbands family has that has been delivered to from this location for years and all of a sudden they no longer deliver within a mile radius. they lost a lifetime customer and I will do nothing and nothing in my power to get these people shut down.
230,2,2,Always try to give them a chance bcuz I really enjoy pizza hut but this has got to be the worst chain ever!! I asked that my food be fresh on delivery they guy said it get there when it gets there. How rude. Food was warm I'm never ordering here again ever !!
231,2,2,"I ordered food here and had a super bad experience. There was a short girl with long brown hair working in the front on a sunday night. She was extremely rude over the phone it was no wonder I got hung up on twice and had a hard time ordering. When I got there to pick up my food, I witnessed her literally yelling and speaking extremely rude to every customer over the phone. Also purposely hanging up on people and loudly slamming the phone down; this went on dozens of times while I was waiting for my food. She was also cursing out loud in front of customers and just clearly full of hate for even being there. Such a bad way to represent the location and business. She was also super rude to everyone inside the store and had the biggest attitude on earth. I felt bad because you can tell she's miserable and hates her job, but there's something called professionalism which she did not have one bit. When I saw the way she was acting, I was SO glad she wasn't the one handling the food or else I would have walked out so quickly. Not only did I have to wait over 25 minutes for literally one tiny thing, but I had to listen to that monstrosity of an employee the whole time. That girl was the worst worker I've ever seen and such an embarrassment to the restaurant. I suggest they find someone that can handle a busy night and that can be professional because that was terrible and super ghetto. This place will always be a dump along with their retarded waste of life employees. It's only a matter of time before this shit hole closes down."
232,2,2,Okay so I'm the first to review this Pizza Hut. I ordered online with my boyfriend and I live only 5 blocks away from this place. I have a pizzeria right by my house but we decided to try something different. It took literally 2 HOURS for the pizza to come! We didn't even get a discount or an apology or whatever. Plus the pizza was cold when it got here. We had to warm it up again. Ugh. Never again.
233,2,2,took forever and the pizza came cold  it took over a 1hour and 45 minutes honestly the pepsi was better
236,2,3,"So the time is now 3:17 PM in the afternoon I decide to grab a quick bite while waiting on my medication from the pharmacy. Me: "" I would like a caesar salad""Pizza hut lady: ""Were out of salad""Me: "" Ok let me get an order of Mild wings""Pizza hut lady: "" We're out of wings too""ME:"
237,2,2,if i can give 0 stars i will! i just want to start by saying this place is terrible! I went in there to get an athenian salad  it was sitting at the counter for like 10 minutes I had to ask if I can receive it the person just ignored me and put the meat in the oven again causing it  to get burnt and then she gives it to me and I told her was to Burnt that if I can get a new one she ignores my question and just gives me a refund I told her I didn't want a refund I just wanted a salad that wasn't burnt and she refused to make me another salad. I also forgot to add before making my salad she scratches her weave and uses the same glove for my.salad
234,2,4,Bruh I love the hut but my mom doesn't so I went with my dad today I was so excited until there were no workers there.idk if they were on break but all the signs were on.so yeah no more Pizza Hut
240,2,2,The worst! I was given plain bread sticks that was barely cut. The pizza was horrible and we were not given what we ordered! I strongly recommend not ordering from here!
241,4,4,Very average but still good. Any time you can get a couple of 3 topping stuff crust pizzas 30% off is a good deal. Light on topping but acceptable. Too bad they no longer offer anchovies. Easy parking too.
242,2,2,"I ordered pizza for my organization...twice, the first time I ordered about 20 pies and my order arrived 45 minutes late with no apologies....nothing. The second time I ordered 3 pies for a team meeting. The delivery driver told me to come outside because he could not find parking (seriously on National Holiday when alternate side of the street parking is suspended in NYC) so I come downstairs and wait. I called him back because I do not see him, but I see lots of parking spots....he tells me he on the adjacent street, he sees me....(pause). I prepaid delivery charges and a tip, yeah you need to ride around the block and bring that pizza to me. He seriously expected me to walk over to him after he was on the adjacent block and there was parking right in from of the school, not cool. And HE had an attitude...ok! I will not patronize this location EVER AGAIN.These reviews are a direct reflection of the service you will receive at this location."
243,4,4,Food came fast but the bread sticks were not cut all the way ... you can tell it was just a half assed order things thrown in the bag and it was not ass good as other places first and last time ordering from here .... 5.2/10
244,1,1,"Dear People of the World,Do you like pizza? Yes or no? Do you like toppings on your pizza? If you like pizza, then come to Ascend Charter School.  Because there is a Pizza Hut store at this school! At Pizza Hut, there are many pizzas that are amazing!  One reason Pizza Hut is the best, is the pizzas are cheesy. They put stretchy cheese on top of the pizza.  They also put melted cheese inside the pizza crust. When I eat the cheese, it feels like I'm in cheesy heaven.  A second reason is, they put pineapples on the pizza. You can also get it with no pineapples. You can make your own pizza with whatever toppings you want, like pepperoni or mushrooms. All the toppings are delicious. You should get it when you get out of school or work or anytime you are hungry. From,Penn State"
245,4,4,"Since the Empire location is closed, this is the closest option before Ridgewood Queens. I placed my order online and it was ready when I arrived.  The lobby was packed with kids and a few adults, all waiting patiently for orders.  The employees were friendly, and that was about it.  I noticed they didnt have one of the giant warmers for the food, hence my pizza being kinda lukewarm.  Parking can be touch and go (meters only).  If we're in serious need maybe we will come back."
246,2,2,2 hours since I placed my order and still no food. I really wish I would have thought to come here and read reviews prior to placing my order but.....alas. Thank god that I opted to make a cash payment upon arrival had I prepaid for this order I would be LIVID.Don't do it y'all!
247,2,4,"I will begin by saying I was extremely thrilled to hear there was a Pizza Hut opening in our neightborhood when the flyer was in my mailbox. I made it a priority to order since I hadn't had Pizza Hut since leaving Virginia 3 years ago. A lot of New Yorkers frown upon commerical pizza chains but Pizza Hut was more nostaligic than anything. Growing up in the South we would order a pizza on friday night and play video games until we passed out as kids. When I placed my order at 9:05 I was given a 9:55 delivery time. I completely understand this being automated so no biggie. When 10:32 came around and my delivery guy called. I gave the benefit of the doubt since it's new. He immediately apologized for it being late. Now I live on the 7 minutes walking from this place, and my pizza and wings were both cold. Not cold as in some warmth left trapped somewhere in the box, but cold as in my thin crust crispy, wasn't crispy. Cheese was dry, bacon was plasticky at this point. I was disappointed.  An hour and half wait time and 7 minutes away and I get cold food?I'm not sure what to really make of it all. But with little to no good delivery pizza options in the area, I've given up on one of my favorite pastimes. Other reviews seem to be on par with some of the same issues. Hopefully this will improve and management will reach out to those that have had bad experiences but until then, no thumbs up over here."
248,2,2,"I had to contact corporate due to the lack of service at this spot. They gotta stop working with door dash or have a better system for ""tracking orders"". My order never even came, i had to call 3 times to speak with 3 unhelpful enployees who either gave me attitude and basically had me wait outside for a delivery person whe never showed (i was told they were a block away, after 15 mins is when i made the second call and that was the same situation). It was a two and a half hour ordeal and i never got my food since the store stopped answering calls -which is understandable since they had closed at this point but like i said, i was waiting for a while and the order was placed an hour and a half before closing time.And the time before this, i had specific direction (which no other delivery person has issue with cuz it's supposed to help both the delivery person and myself ‍) to call when turning onto my block so i can meet driver outside and the guy calls me aggressively yelling at me about where i'm at and how he needs to go cuz there's no parking. That was whatever but this spot is trash."
249,2,2,"Wow why would you hire these people they have no customer service they are rude and they take forever just to make a damn personal pie all you hear in the back is ""bro"" ""bro"""
250,2,2,Annoying ass bitch ass employees...gonna say they called me and didn't when I did deliver
251,2,2,1 star based on the delivery alone. Delivery will take well over an hour to get to you and the food will be cold. And this location is less than 2 miles away.
252,2,2,I've ordered from the Pizza Hut 4x now it literally takes over an hour to receive the orders from here.. Absolutely ridiculous.. Slowest Pizza Hut in the history of delivery.
253,2,2,Delivery takes wayyyy to long ... I live 5 mins away from there ... & food was cold both times I ordered .... This is by far the worst Pizza Hut Ive ever had ... Wish they hadn't open it because they given Pizza Hut a bad look ... Maybe it will get new management & improve .
254,2,2,"I live in the neighborhood and was very excited to hear that a Pizza Hut was opening around the corner from me.  All of my experiences at that location were not pleasant.  No one ever answers the phone, there is always a longer wait time and most of all the customer service stinks.  People only go there because the pizza is very good.  I called and made a complaint at the Cooperate headquarters and was sent coupons for two large pizzas.  I went back to the location and the cashier did not even greet me she acted like I was on the welfare line NEXT she said with an attitude.  The pizza was very good I give it 5 stars but the customer service is horrible they really need to hire people with better customer service skills. No body wants to deal with other people's nasty attitudes.  Please think about hiring better quality staff,  sorry it's a thumbs down for me."
255,2,2,"The absolute f#*king worst food preparation and customer service. The woman that made my pizza slammed the phone down on the table, walked away and then came back an hung up on me and when I tried to call back, she re-routed my call when I was trying to tell her that the ingredients on the pizza were very skimpy. I am on the phone with corporate now. They don't deserve to operate under the name of Pizza Hut with service like this and they just opened; starting off on the wrong foot already. Been a customer for years. Never again at this location. Wish I would've known to check their reviews before ordering because they're all bad."
256,2,3,"Today at approximately 1345 hrs., I came into Pizza Hut located at 1501 Pitkin ave Brooklyn ny 11212 and was getting ready to ask the cashier what specials there were. Before I had the opportunity to get the sentence out the cashier, Millie, interrupted me mid sentence and stated ""we don't have specials this ain't the express hut."" I tried to explain numerous times that I've order the special pan pizza with 4 bone out wings but she over talked me every chance she got. When I went to my phone and ordered the special I was looking for and came in the store to pay for my order, I explained to Millie that I found the special I was looking for. Instead of her aploligizing for her rude and distasteful and ratchet ass attitude, she said ""well yeah Y'ALL don't listen. That's only online or at the express."" I again tried to reiterate that she never explained that to me and was very rude. She deflected by staring $9.24 is your total....swipe when you see the green light. All I could do was laugh at the brown tooth, disrespectful, foul mouth, foul odor, fire breathing dragon from game of thrones 'cashier' MILLIE. This is not the first or second time that I've had horrible customer service from this SAME Pizza Hut branch. I'm extremely irritated that I have to spend my hard earned money and be treated so vile. I'm so close to never ordering from Pizza Hut EVER AGAIN. You guys need to invest in adequate training for staff and stop hiring these ghetto ass stink breath hood rats!!!!! I will be copying and pasting this complaint to every social media outlet I have (Facebook, Instagram, twitter & yelp just to name a few)"
257,2,2,"Terrible service!!! My order came in late and was missing my order of wings. The driver had the nerve to say they forgot to put my wings in the bag and that I have to call them to send another driver to deliver. I called, the manager said we will get the wings within 20 minutes... 30 minutes later I had to call back... Finally the same driver came back with an attitude and of course the wings were cold! Will never order from that place again!!!"
258,2,4,"Messed up my toppings. Incredibly slow delivery time. Cold, bland pizza once it arrived. The staff don't have a care in the world, acting bored and annoyed. However, the dining area was made and set perfectly. Bathroom is very sanitary."
259,2,2,"Never order onlineI ordered online once after going to pizza hutfor years and nobody even started the pizza 4hours after I ordered and after all that I didn'treceive ant points, a coupon, and barelyreceived an apology I got one after explainingI've waited 4 hours! It annoyed me so much Ihad to make a yelp post a month after thishappened its a great place just horrible at keeping online orders"
260,2,2,This place is absolutely horrible! They arrived 1.5 hours early with my Super Bowl food and I scheduled this at 9am and paid in ADVANCE to receive by food at 6:30pm. They do not answer their phones ever and they are only 2 blocks away as I received ice cold food. How do you run a business like this? Pizza and wings are so simple as you use tons of frozen product! DO NOT order from here unless you'd like to be upset on timeliness and food quality as well no answers to your complaint. You lost a customer Pizza Hut. You are falling apart and now we see why your losing branches.
261,1,1,We used to be long time customer of Pizza Hut dining in but slowly stopped because of the slow delivery when we stopped dining in... and one time getting a horrible pie that was assembled poorly...BUT!!!!!!....We have ordered about 4 times in the past two months and have gotten our pizza and sides within 30-40 min!!!! We didn't wait hours like a few years ago. I waited a while to see if it was consistent or just a good day for them and it has been consistent the past 4 times with delivering! Good is delicious as expected from the hut!I'm not sure if owners changed or not but whatever they're doing to deliver as quickly as possible and fresh food they're doing right this time!!!
262,2,2,"I stopped ordering from this Pizza Hut a long time ago due to their slow delivery time and unprofessional service. Today my kids asked if I could order Pizza Hut so I gave in and figured let's try it out. It was early and a Thursday night so I thought it couldn't be too bad. Boy am I mad I decided to even bother! The order took an hour and a half to get here which I expected so I'm not even mad about that. What I am upset about is my card being charged twice and the way it was handled. I called the restaurant as soon as I realized it. First the person that answered told me that the manager did it twice by accident because she was in a rush so I have to wait 3-5 for my refund. I then asked to speak with the manager. I spoke with Anaisa. First she told me that Pizza Hut has a new system where customers are charged twice if you leave the tip on the card. I responded with that is impossible as this has never happened before. I insisted that it sounded like an excuse. Then she told me that the driver told her to do it twice because he was in a rush and had to go. I asked her how is a driver telling a manager how to process payments...she had no answer and went back to well you just have to wait 5-7 days. Before I was told 3-5 but that also changed. I told her all I really wanted was for her to take ownership of the situation. She would not. She told me to call tomorrow and speak with someone else. As if that was going to help. I now have two charges on my card for one delivery. Let's see when this refund happens, if it ever does. She ended the call with there was nothing she could do and that is just their system. Anaisa was unprofessional and did not take ownership of her mistake. Very sad when that type of attitude comes from a manager that is supposed to be leading a team"
263,2,2,I wish I could give them less that one star because believe me I most definitely would. If you're thinking of ordering from here DONT. Worst decision you'll make. Waited 3 hours for my order to be delivered. Every time we'd call the store to ask what was going on they would hang up on us. The one time we actually got to speak to someone she told us she would contact the driver and get back to us and never did. We got the pizza 3 hours later and it was cold. Worst experience ever this place should be shut down
264,2,4,Pizza it's great. Customer service is the girl that served me was very rude and in polite she literally threw the plates on the table might as well just have throw them from the kitchen and hit me with them. TERRIBLE.
265,2,2,"Horrible Service Overall. My delivery ETA boosted up to 2 hours and stood on Hold for 10 minutes when I tried to figure out why its taking so long for delivery. I prefer Pizza Hut over anybody else, but this is uncalled for. I literally will never order anything from here again! Crazy how one store will change your views on the entire company.."
